Title,Company,Location,Description,URL
Data Entry Technician (Extra Help),County of Orange,California,"As a primary responsibility, uses a keyboard or data entry terminal to enter alpha and numerical data.
As a primary responsibility, uses a keyboard or data…",https://www.indeed.com/viewjob?jk=915fa51e28f80ca2&from=serp&vjs=3
Data Associate,Pennsylvania Democratic Committee,Pennsylvania,"Maintain data standards to ensure data capture and hygiene.
Respond to data support requests and flags.
Be a resource to other departments when it comes to…",https://www.indeed.com/viewjob?jk=c9c1335f0ce8967d&from=serp&vjs=3
Mission Data Technical Support Specialist 1,United Launch Alliance,"Centennial, CO 80112","Manages data products, executes database activities and regular metrics, and facilitates recurring team activities.
Facilitate closure of urgent and late items.",https://www.indeed.com/viewjob?jk=88b5c7f3e05bf71f&from=serp&vjs=3
Data and Reporting Professional,Humana,Remote in Ohio,"Experience working with big and complex data sets within large organizations and/or the analysis of healthcare data.
Bachelor's Degree or equivalent experience.",https://www.indeed.com/viewjob?jk=c5e86d90d9e7deb3&from=serp&vjs=3
Jr. Data Analyst,Universal Music Group,"Nashville, TN","Experience extracting data from data lake is required.
Provide practical and creative data engineering solutions on large sets of data.",https://www.indeed.com/viewjob?jk=73ca9cd3148684e9&from=serp&vjs=3
Data Controller (Grades: 6-8),Dallas Independent School District,"Dallas, TX 75231 (Northeast Dallas area)","Complete all input documents and update student database via electronic data transmission to maintain systems supported including the school instructor file,…",https://www.indeed.com/viewjob?jk=c4d4f4714b781d67&from=serp&vjs=3
Data Clerk,Effingham County Schools,United States,"Responsible for entry, maintenance and processing of data necessary for local and state reporting.
Responsible for CPI, FTE, Infinite Campus administration,…",https://www.indeed.com/viewjob?jk=8eafd143d9ce82ea&from=serp&vjs=3
"Logistics Technician, Data Center",Apple,"Mesa, AZ 85212","As a Logistics Technician you will ensure products, materials, or supplies are shipped, distributed, or received in an efficient manner.",https://www.indeed.com/viewjob?jk=f13bcad721a04f8b&from=serp&vjs=3
Analyst-Data Analytics,Amex,"Hybrid work in New York, NY","Work with external data vendors to evaluate external data for small businesses incl.
Excellent SAS/SQL Skills and experience of working with large and…",https://www.indeed.com/viewjob?jk=d635e8aa5b073cd8&from=serp&vjs=3
Data Scientist - Machine Learning,TikTok,"San Jose, CA","Design and develop data processing pipelines, including data labeling, data filtering, data cleaning, data visualization, data auditing, etc.",https://www.indeed.com/viewjob?jk=4af88c0faf8f655e&from=serp&vjs=3
Data Analyst,UST Global,Remote in Illinois,"Periodically perform data submissions to Plans and work with them to address any data integrity issues.
Work closely with BCBSA Data analysts to understand…",https://www.indeed.com/viewjob?jk=ed760a1a6a382648&from=serp&vjs=3
Data Science Manager - Product,Netflix,Remote,"Experience hiring and leading high-caliber, data-focused teams with diverse technical strengths.
We’re looking for an accomplished data science and analytics…",https://www.indeed.com/viewjob?jk=c3ed4f8614f87d36&from=serp&vjs=3
Emaint Data Entry Specialist,Watco,"Houston, TX 77015","1+ years’ work experience in data entry is preferred.
Query and analyze data within the system to identify opportunities for process improvement.",https://www.indeed.com/viewjob?jk=1c7263b56fdbc6a2&from=serp&vjs=3
Data Analyst,Mutual of Enumclaw Insurance Company,Remote in United States,"Strong analytic, data cleanup, and organization skills.
Ability to translate data analysis into coherent presentations & communication.",https://www.indeed.com/viewjob?jk=93a9f3b8443fe0a0&from=serp&vjs=3
Data Entry Specialist,Risk Solutions,"Evanston, IL 60201 (Downtown area)","Meeting all deadlines including processing data within the same day of receipt.
Maintaining required records in the completion of data entry tasks and…",https://www.indeed.com/viewjob?jk=f6b7b1cac7914295&from=serp&vjs=3
Sr. Administrative Assistant Guest Data Platform,Target,"Minneapolis, MN 55403 (Downtown West area)","Pay is based on several factors which vary based on position.
Target offers eligible team members and their dependents comprehensive health benefits and…",https://www.indeed.com/viewjob?jk=69ca40f363b4c453&from=serp&vjs=3
"Data Center Technician, Machine Learning Support",Google,"New Albany, OH","Maintain the security and integrity of data, track various forms of media to check for standard data security issues (e.g., data was not properly erased)…",https://www.indeed.com/viewjob?jk=8142e29ecc0adfc5&from=serp&vjs=3
"Assistant Staff Analyst, Policy and Planning Data Analyst","Public Health Foundation Enterprises, In","Los Angeles, CA 90014","Provides training and technical assistance on data management and tracking to ensure accurate data collection.
Occasionally (0 - 2 hrs/day).",https://www.indeed.com/viewjob?jk=6137c7d726d19779&from=serp&vjs=3
Image Support Specialist Level 1 - Data Entry,CDS GLOBAL,"Boone, IA 50036","Your precision and attention to detail will ensure high quality data entry.
Verify and/or enter missing data presented to you on a PC screen.",https://www.indeed.com/viewjob?jk=b8f88d4977229b8b&from=serp&vjs=3
Admin/Data Validation & Entry,Intone Networks,"Concord, NH",Admin/Data Validation & Entry Job Notes: Submittal Process: * Resumes must be under 5 pages and include all contact info * No more than 10-15 bullets per role *…,https://www.indeed.com/viewjob?jk=7954ac1a97a5f4da&from=serp&vjs=3
Junior Qlik BI Analyst,Kyriba,Texas,"Experience with data analysis and reporting.
Basic understanding of BI tools and data visualization concepts.
The ideal candidate will work closely with various…",https://www.indeed.com/viewjob?jk=12c1380cb7d3b0e1&from=serp&vjs=3
Assistant: Data,Anne Arundel County Public Schools,"Anne Arundel County, MD","In data analytics or data processing preferred;
Provides training to staff involved with using state and local databases, collecting data and reporting data.",https://www.indeed.com/viewjob?jk=cc048223ec6fdf27&from=serp&vjs=3
Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)","1+ years data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results) OR equivalent…",https://www.indeed.com/viewjob?jk=4da6aec1310a5521&from=serp&vjs=3
Clinical Data Associate,RHO,United States,"Program basic SAS manual data review and data reconciliation listings.
Review data reconciliation listings to identify data discrepancies and any necessary…",https://www.indeed.com/viewjob?jk=e69701f3114b198a&from=serp&vjs=3
Data Support Specialist,"Colony Brands, Inc.","Monroe, WI 53566","This is an onsite position in Monroe, WI. Colony Brands, Inc. is one of the world’s largest and most successful direct marketing catalog and e-Commerce…",https://www.indeed.com/viewjob?jk=5f531fe19650f51a&from=serp&vjs=3
Research Data Analyst II - Radiation Oncology,UCLA Health,"Los Angeles, CA 90095","Demonstrated data management skills and experience.
Ability to extract data and organize large databases.
Ability to establish and maintain accurate records and…",https://www.indeed.com/viewjob?jk=829a682925abe4fb&from=serp&vjs=3
Business Data Architect,Hilton,"Remote in McLean, VA 22102",Unwind the nuance of our data and the existing technical landscape (both across the enterprise and in legacy data artifacts) to understand implications for new…,https://www.indeed.com/viewjob?jk=4dcab3d4ba328728&from=serp&vjs=3
Data Entry Clerk 2,Rayne Staffing,"Birmingham, AL 35203 (Fountain Heights area)","Ability to use various scanners and software to upload and associate files in data base.
Proficient typing, computer skills and computer software(i.e. Word,…",https://www.indeed.com/viewjob?jk=d76b50b5c9e6e882&from=serp&vjs=3
"Associate, Operations - Loan Reference Data",S&P Global,"Remote in Raleigh, NC 27601","Strong data analysis skills, ability to query and analyze large volumes of financial data.
The role also includes enhancing existing practices and alternatives…",https://www.indeed.com/viewjob?jk=6e573ac11afffe5a&from=serp&vjs=3
DC Data Specialist,Adidas,"Spartanburg, SC","Work with Operations to recapture data where data is incorrect/incomplete.
Compare dimensional data across DC’s to find data trends and inconsistencies.",https://www.indeed.com/viewjob?jk=ac90a3302de282d0&from=serp&vjs=3
SQL Server DBA,"NexGen Technologies, Inc",Remote,"This individual will be required to work closely with members of the NexGen and client teams, including but not limited to, domain experts and developers.",https://www.indeed.com/viewjob?jk=ce79e549b9470eb2&from=serp&vjs=3
DC Data Specialist,Adidas,"Spartanburg, SC","Work with Operations to recapture data where data is incorrect/incomplete.
Compare dimensional data across DC’s to find data trends and inconsistencies.",https://www.indeed.com/viewjob?jk=ac90a3302de282d0&from=serp&vjs=3
Sr. Administrative Assistant Guest Data Platform,Target,"Minneapolis, MN 55403 (Downtown West area)","Pay is based on several factors which vary based on position.
Target offers eligible team members and their dependents comprehensive health benefits and…",https://www.indeed.com/viewjob?jk=69ca40f363b4c453&from=serp&vjs=3
SQL Server DBA,"NexGen Technologies, Inc",Remote,"This individual will be required to work closely with members of the NexGen and client teams, including but not limited to, domain experts and developers.",https://www.indeed.com/viewjob?jk=ce79e549b9470eb2&from=serp&vjs=3
Data Engineer,Microsoft,"Redmond, WA 98052 (Overlake area)","Industry experience in pioneering, scaling, and optimizing data pipelines, data storage, large-scale data processing/analytics platform, dashboards.",https://www.indeed.com/viewjob?jk=3591469237857ae3&from=serp&vjs=3
Data Associate,Alliant Group,"Houston, TX 77056 (Uptown area)","The Data Associate is organized, detail-oriented and possesses strong business judgment and communication skills needed to interact with various organizational…",https://www.indeed.com/viewjob?jk=4022f1df3bf9cb27&from=serp&vjs=3
Data Processing Programmer,Willis Knighton Health,"Shreveport, LA 71103 (Queensborough area)","PK 2 Location: WK Medical Center - 1 · Data Processing Schedule: Full-Time,…",https://www.indeed.com/viewjob?jk=bc90d15b74c9cd80&from=serp&vjs=3
Data Analyst,Pine Street Inn,"Boston, MA 02118 (South End area)","Collaborates across agency to identify data analytics problems and execute solutions with data-driven insights.
Strong verbal and written communication skills.",https://www.indeed.com/viewjob?jk=3fdd885e8deaa0e2&from=serp&vjs=3
Data Specialist,Intone Networks,"Hybrid work in Richmond, VA","Position Title: Data Specialist Location :HYBRID position based out of Richmond, VA…",https://www.indeed.com/viewjob?jk=29ffb4858436496a&from=serp&vjs=3
"Data Collection Associate , VCARE, CoRo",Amazon.com Services LLC,"Bellevue, WA","Data Collection Specialists will need to learn quickly, execute the recruitment and collection procedure accurately, record data, and document any needed…",https://www.indeed.com/viewjob?jk=2cefc63a2d07e069&from=serp&vjs=3
Impact Analyst,Deloitte,United States,"Strong analytical skills with the ability to interpret complex data and translate it into actionable strategies.
Limited Sponsorship may be available.",https://www.indeed.com/viewjob?jk=6221b7331e072851&from=serp&vjs=3
Data Entry Asst,Advocate Aurora Health,"Milwaukee, WI 53215 (Forest Home Hills area)","Accurately enters pertinent data into appropriate computer software.
Training or experience in keyboarding/data entry with an emphasis on speed and accuracy.",https://www.indeed.com/viewjob?jk=2b6a503dbfe27285&from=serp&vjs=3
Senior Data Analyst,Foot Locker,United States,"Experience with data tagging, data integrity and quality assurance processes are required.
Implement data validation processes and continuous monitoring to…",https://www.indeed.com/viewjob?jk=0259a0fb7e420f3c&from=serp&vjs=3
Data Analyst,"Syms Strategic Group, LLC (SSG)","Remote in Ashburn, VA 20148","Obtain data through advanced computerized models.
Extrapolate data patterns through advanced algorithms.
Analyze and interpret trends from the data.",https://www.indeed.com/viewjob?jk=f3c4543906370c3c&from=serp&vjs=3
Data Quality Specialist,UW Health,"Hybrid work in Madison, WI 53717","Communicate with other departments internally and with external organizations to update provider routing information.
At UW Health, you will have :",https://www.indeed.com/viewjob?jk=488a5830e8ea4a48&from=serp&vjs=3
Data Entry Specialist,Barrett Financial Group,"Gilbert, AZ","Accurately enter and data in our systems.
Barrett Financial Group is seeking a meticulous and detail-oriented Data Entry Specialist to join our Payroll Team.",https://www.indeed.com/viewjob?jk=639eb8afb2cdaecc&from=serp&vjs=3
Data Analyst,Stanford University,"Stanford, CA","Welcome to Land, Buildings & Real Estate: Land, Buildings & Real Estate (LBRE) is the operational core of Stanford University’s physical campus. LBRE…",https://www.indeed.com/viewjob?jk=505786540fb9bb1a&from=serp&vjs=3
Data Scientist,"Vizient, Inc.","Chicago, IL","When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents…",https://www.indeed.com/viewjob?jk=426061bb56791ade&from=serp&vjs=3
Senior Data Analyst - SF,Aircall,"San Francisco, CA","San FranciscoG&A – 13008 - Data /Full Time /Hybrid Aircall is a place where voices are valued. Backed by over $220 million of investment since 2015, we…",https://www.indeed.com/viewjob?jk=58dbeafe1abe6759&from=serp&vjs=3
Data Specialist,University of North Carolina Wilmington,"Wilmington, NC 28403",Please see Special Instructions for more details. PLEASE NOTE: This posting will close at 11:59PM (Eastern time) on the posted closing date. To receive full…,https://www.indeed.com/viewjob?jk=0579656db498f153&from=serp&vjs=3
Special Education Data Technician,Academy District 20 EAC (Education and...,"Colorado Springs, CO",Location: EAC (Education and Administration Center) Recruiting Start Date: 07/17/2024 Estimated Start Date: 08/12/2024 Special Education Data Technician…,https://www.indeed.com/viewjob?jk=10378b3731f4f6db&from=serp&vjs=3
Vendor Data Analyst,"Vizient, Inc.","Remote in Chicago, IL","When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents…",https://www.indeed.com/viewjob?jk=5619d80a12ab158b&from=serp&vjs=3
Data Entry Operator - Business Office Perimeter Summit,Northside Hospital,"Atlanta, GA 30319","Northside Hospital is award-winning, state-of-the-art, and continually growing. Constantly expanding the quality and reach of our care to our patients and…",https://www.indeed.com/viewjob?jk=210a3c5687f0bb33&from=serp&vjs=3
Data Scientist,Arrowhead Central Credit Union,"Rancho Cucamonga, CA 91730",Are you passionate about analyzing data and finding creative ways to present solutions that help organizations make informed decisions? Do you find enjoyment…,https://www.indeed.com/viewjob?jk=84d68235b5ee3a86&from=serp&vjs=3
Master Data Analyst,Smithfield Foods,"Smithfield, VA","If you are currently employed at Smithfield, please log into Workday and submit your application through the Jobs Hub. A great job-and a great future-awaits…",https://www.indeed.com/viewjob?jk=abf7d438c94eafa3&from=serp&vjs=3
Data Coordinator,CDC Foundation,Remote in Georgia,"The CDC Foundation’s Data Coordinator provides support to the Advancement team, specific to the use of data and technology, to achieve fundraising and…",https://www.indeed.com/viewjob?jk=c56ec0ed51d04e54&from=serp&vjs=3
AR Data Entry Coordinator (Temporary),LG Electronics U.S.,"Englewood Cliffs, NJ","LG's Mission is to be #1 by creating a better life for our customers. At LG we make products and services that make lives better, easier and happier through…",https://www.indeed.com/viewjob?jk=71f22efb3d171b70&from=serp&vjs=3
Health Data Curator at EPA,ORAU,"Washington, DC 20004 (Downtown area)",Overview: The EPA National Student Services Contract has an immediate opening for a full time Health Data Curator at EPA position with the Office of Research…,https://www.indeed.com/viewjob?jk=62b63a91ecd4ebfd&from=serp&vjs=3
Human Resources Assistant (Data and Onboarding Associate),Penn State University,"University Park, PA",JOB DESCRIPTION AND POSITION REQUIREMENTS: Penn State Human Resources (HR) is seeking a Human Resources Assistant to provide outstanding support to the HR…,https://www.indeed.com/viewjob?jk=11756cdf429e28f8&from=serp&vjs=3
Research Analyst (Data Science),APCO Worldwide,"Washington, DC","APCO Insight®, the strategic research consultancy within global communication firm APCO Worldwide, is seeking a Research Analyst (Data Science) to join its…",https://www.indeed.com/viewjob?jk=31cd7fd635ec05f8&from=serp&vjs=3
AR Data Entry Coordinator (Temporary),LG Electronics U.S.,"Englewood Cliffs, NJ","Experience with databases and data entry; ability to navigate difficult systems.
The AR Data Entry Coordinator will be responsible for inputting a high volume…",https://www.indeed.com/viewjob?jk=71f22efb3d171b70&from=serp&vjs=3
Health Data Curator at EPA,ORAU,"Washington, DC 20004 (Downtown area)","Creating data visualizations to present health effects data, both spatially (using GIS software) and quantitatively; and.
General project support will include:",https://www.indeed.com/viewjob?jk=62b63a91ecd4ebfd&from=serp&vjs=3
